url,status,title,build,ok,final_url,last_modified,note
https://waypointstudio.org/,200,Waypoint Studio,761b202,True,https://waypointstudio.org/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/index.html,200,Waypoint Studio,761b202,True,https://waypointstudio.org/index.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/kiosk.html,200,Waypoint Studio — Kiosk,761b202,True,https://waypointstudio.org/kiosk.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/contact.html,200,Contact — Waypoint Studio,local,True,https://waypointstudio.org/contact.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/support.html,200,Support — Waypoint Studio,local,True,https://waypointstudio.org/support.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/about.html,200,About — Waypoint Studio,local,True,https://waypointstudio.org/about.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/privacy.html,200,Privacy — Waypoint Studio,local,True,https://waypointstudio.org/privacy.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/knowledge.html,200,Waypoint Knowledge — Waypoint Studio,local,True,https://waypointstudio.org/knowledge.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/settings.html,200,Settings — Waypoint Studio,local,True,https://waypointstudio.org/settings.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/map/,200,Redirecting to Sheds map — Waypoint Studio,,True,https://waypointstudio.org/map/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/dashboard/,200,Dashboard — Waypoint Studio,761b202,True,https://waypointstudio.org/apps/dashboard/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/fieldry/,200,Fieldry — Life List · Waypoint Studio,761b202,True,https://waypointstudio.org/apps/fieldry/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/scenes/,200,Waypoint Scenes — Photography · Waypoint Studio,761b202,True,https://waypointstudio.org/apps/scenes/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/shed-hunting/,200,Sheds — Waypoint Studio,761b202,True,https://waypointstudio.org/apps/shed-hunting/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/foragecast/,200,ForageCast — What should I look for today?,761b202,True,https://waypointstudio.org/apps/foragecast/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/steepleaf/,200,Steepleaf — Waypoint Studio,761b202,True,https://waypointstudio.org/apps/steepleaf/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/waypoint-volunteer/,200,Waypoint Volunteer — Waypoint Studio,761b202,True,https://waypointstudio.org/apps/waypoint-volunteer/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/signalterrain/,200,SignalTerrain — Waypoint Studio,761b202,True,https://waypointstudio.org/apps/signalterrain/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/savant-sommelier/,200,Discover — Savant Sommelier,761b202,True,https://waypointstudio.org/apps/savant-sommelier/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/contact.html?category=bug&subject=Bug%20report&includeTech=1,200,Contact — Waypoint Studio,local,True,https://waypointstudio.org/contact.html?category=bug&subject=Bug%20report&includeTech=1,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/contact.html?category=feature&subject=Feature%20request,200,Contact — Waypoint Studio,local,True,https://waypointstudio.org/contact.html?category=feature&subject=Feature%20request,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/contact.html?category=scientific&subject=Scientific%20correction,200,Contact — Waypoint Studio,local,True,https://waypointstudio.org/contact.html?category=scientific&subject=Scientific%20correction,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/contact.html?category=bug&includeTech=1&subject=Bug%20report,200,Contact — Waypoint Studio,local,True,https://waypointstudio.org/contact.html?category=bug&includeTech=1&subject=Bug%20report,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/dashboard.html,200,Dashboard — redirect,761b202,True,https://waypointstudio.org/dashboard.html,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/photo-coach/,200,Photo Coach — Waypoint Scenes · Waypoint Studio,761b202,True,https://waypointstudio.org/apps/photo-coach/,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/docs/WAYPOINT-KNOWLEDGE-PLATFORM.md,200,,,True,https://waypointstudio.org/docs/WAYPOINT-KNOWLEDGE-PLATFORM.md,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/docs/WAYPOINT-EDITORIAL-STANDARDS.md,200,,,True,https://waypointstudio.org/docs/WAYPOINT-EDITORIAL-STANDARDS.md,"Sun, 19 Jul 2026 16:28:05 GMT",
https://waypointstudio.org/apps/shed-hunting/map/,200,Sheds — Waypoint Studio,local,True,https://waypointstudio.org/apps/shed-hunting/map/,"Sun, 19 Jul 2026 16:28:05 GMT",
